[2022/08/16 08:15:33] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:15:33] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.665103). Number of funcation evaluation: 7, found largest slope: 17.51612663269043
[2022/08/16 08:15:33] - [-] 3 th iter: Global minimum: 5.068150 (estimated lower bound: -2.832147). Number of funcation evaluation: 13, found largest slope: 52.782310485839844
[2022/08/16 08:15:33] - [-] 4 th iter: Global minimum: 5.068150 (estimated lower bound: 2.434718). Number of funcation evaluation: 15, found largest slope: 52.782310485839844
[2022/08/16 08:15:33] - [-] 5 th iter: Global minimum: 4.924515 (estimated lower bound: 1.272671). Number of funcation evaluation: 21, found largest slope: 73.19450378417969
[2022/08/16 08:15:33] - [-] 6 th iter: Global minimum: 4.924515 (estimated lower bound: 3.707233). Number of funcation evaluation: 27, found largest slope: 73.19450378417969
[2022/08/16 08:15:33] - [-] 7 th iter: Global minimum: 4.659957 (estimated lower bound: 3.211796). Number of funcation evaluation: 33, found largest slope: 87.07717895507812
[2022/08/16 08:15:33] - [-] 8 th iter: Global minimum: 4.659957 (estimated lower bound: 4.177237). Number of funcation evaluation: 39, found largest slope: 87.07717895507812
[2022/08/16 08:15:33] - [-] 9 th iter: Global minimum: 4.659957 (estimated lower bound: 3.791414). Number of funcation evaluation: 45, found largest slope: 470.0255126953125
[2022/08/16 08:15:33] - [-] 10 th iter: Global minimum: 4.564739 (estimated lower bound: -18.885927). Number of funcation evaluation: 53, found largest slope: 470.0255126953125
[2022/08/16 08:15:33] - [-] 11 th iter: Global minimum: 4.564739 (estimated lower bound: -3.252150). Number of funcation evaluation: 59, found largest slope: 470.0255126953125
[2022/08/16 08:15:33] - [-] 12 th iter: Global minimum: 4.473324 (estimated lower bound: -3.343565). Number of funcation evaluation: 67, found largest slope: 470.0255126953125
[2022/08/16 08:15:33] - [-] 13 th iter: Global minimum: 4.473324 (estimated lower bound: 1.867694). Number of funcation evaluation: 71, found largest slope: 470.0255126953125
[2022/08/16 08:15:33] - [-] 14 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 81, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 15 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 87, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 16 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 91, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 17 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 101, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 18 th iter: Global minimum: 4.387330 (estimated lower bound: 1.119450). Number of funcation evaluation: 107, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 19 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 113, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 20 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 115, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 21 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 117, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 22 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 125, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 23 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 129, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 24 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 131, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 25 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 137, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 26 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 141, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 27 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 147, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 28 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 149, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 29 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 151, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 30 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 157, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 31 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 159, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 32 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 165, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 33 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 167, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 34 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 171, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 35 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 173, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 36 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 177, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 37 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 179, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 38 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 185, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 39 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 191, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 40 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 193, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 41 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 195, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 42 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 197, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 43 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 199, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 44 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 203, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 45 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 205, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 46 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 209, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 47 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 213, found largest slope: 589.48779296875
[2022/08/16 08:15:33] - [-] 48 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 215, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 49 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 221, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 50 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 225, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 51 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 227, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 52 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 231, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 53 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 233, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 54 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 241, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 55 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 245, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 56 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 251, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 57 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 253, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 58 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 259, found largest slope: 589.48779296875
